DR2.TIS0066.PV            WYJ.PROD.Z PC-1 STR. 6
DR2.TIS0067.PV            WYJ.PROD.Z PC-1 STR. 7
DR2.TIS0068.PV            WYJ.PROD.Z PC-1 STR. 8
DR2.TIS0131.PV            WYJ.PROD.Z PC-2 STR. 1
DR2.TIS0132.PV            WYJ.PROD.Z PC-2 STR. 2
DR2.TIS0133.PV            WYJ.PROD.Z PC-2 STR. 3
DR2.TIS0134.PV            WYJ.PROD.Z PC-2 STR. 4
DR2.TIS0163.PV            PO CHK1-A-F
DR2.TIS0163OUT.PV      ZAWOR NA WODZIE DO CH-21
DR2.TIS0163SP.PV        TEMP. WLOT DO Z-1 (SP)
DR2.TIS0239.PV            PO CHK2A-E
DR2.TIS0485.PV             R22 Z CHK8
DR2.TIS0550.PV             PARA STRIP
DR2.TIX0288.PV            E11F WEJ. GUDRONU
DR2.TIX0289.PV            E11E WEJ. GUDRONU
DR2.TIX0290.PV            E11D WEJ. GUDRONU
DR2.TIX0291.PV            E11C WEJ. GUDRONU
DR2.TIX0292.PV            E11B WEJ. GUDRONU
DR2.TIX0293.PV            E11A WEJ. GUDRONU
DR2.TIX0294.PV            E11A WEJ. ROPY
DR2.TIX0295.PV            E11B WEJ. ROPY
DR2.TIX0296.PV            E11C WEJ. ROPY
DR2.TIX0297.PV            E11D WEJ. ROPY
DR2.TIX0298.PV            E11E WEJ. ROPY
DR2.TIX0299.PV            E11F WEJ. ROPY
DR2.TC0150.PV              SZCZYT K-1
DR2.TC0150_BS_GAIN.PVSZCZYT K-1 - P_TAG
DR2.TC0150_BS_RESET.PVSZCZYT K-1 - I_TAG
DR2.TC0150_OP.PV        SZCZYT K-1 - CONTROL OUTPUT
DR2.TC0150_OUT_MODE.PVSZCZYT K-1 - MODE_TAG
DR2.TC0150_PREACTIM.PVSZCZYT K-1 - D_TAG
DR2.TC0150_SP.PV        SZCZYT K-1 - SETPOINT
DR2.TC0150SP.PV          SZCZYT K-1 (SP)
DR2.TC0151.PV              POWR.Z PC-1
DR2.TC0151_BS_GAIN.PVPOWR.Z PC-1 - P_TAG
DR2.TC0151_BS_RESET.PVPOWR.Z PC-1 - I_TAG
DR2.TC0151_OP.PV        POWR.Z PC-1 - CONTROL OUTPUT
DR2.TC0151_OUT_MODE.PVPOWR.Z PC-1 - MODE_TAG
DR2.TC0151_PREACTIM.PVPOWR.Z PC-1 - D_TAG
DR2.TC0151_SP.PV        POWR.Z PC-1 - SETPOINT
DR2.TC0163.PV               FR A20 DO Z-1
DR2.TC0163_BS_GAIN.PV FR A20 DO Z-1 - P_TAG
DR2.TC0163_BS_RESET.PV FR A20 DO Z-1 - I_TAG
DR2.TC0163_OP.PV         FR A20 DO Z-1 - CONTROL OUTPUT
DR2.TC0163_OUT_MODE.PV FR A20 DO Z-1 - MODE_TAG
DR2.TC0163_PREACTIM.PV FR A20 DO Z-1 - D_TAG
DR2.TC0163_SP.PV         FR A20 DO Z-1 - SETPOINT
DR2.TC0235.PV              ROB Z PC-1
DR2.TC0235_BS_GAIN.PVROB Z PC-1 - P_TAG
DR2.TC0235_BS_RESET.PVROB Z PC-1 - I_TAG
DR2.TC0235_OP.PV        ROB Z PC-1 - CONTROL OUTPUT
DR2.TC0235_OUT_MODE.PVROB Z PC-1 - MODE_TAG
DR2.TC0235_PREACTIM.PVROB Z PC-1 - D_TAG
DR2.TC0235_SP.PV        ROB Z PC-1 - SETPOINT
DR2.TC0235SP.PV          TCOT Z PC-1 (SP)
DR2.TC0259.PV              OR12 POW
DR2.TC0259_BS_GAIN.PVOR12 POW - P_TAG
DR2.TC0259_BS_RESET.PVOR12 POW - I_TAG
DR2.TC0259_OP.PV        OR12 POW - CONTROL OUTPUT
DR2.TC0259_OUT_MODE.PVOR12 POW - MODE_TAG
DR2.TC0259_PREACTIM.PVOR12 POW - D_TAG
DR2.TC0259_SP.PV        OR12 POW - SETPOINT
DR2.TC0338.PV              OR15 POWR.P20 PROD
DR2.TC0338_BS_GAIN.PVOR15 POWR.P20 PROD - P_TAG
DR2.TC0338_BS_RESET.PVOR15 POWR.P20 PROD - I_TAG
DR2.TC0338_OP.PV        OR15 POWR.P20 PROD - CONTROL OUTPUT
DR2.TC0338_OUT_MODE.PVOR15 POWR.P20 PROD - MODE_TAG
DR2.TC0338_PREACTIM.PVOR15 POWR.P20 PROD - D_TAG
DR2.TC0338_SP.PV        OR15 POWR.P20 PROD - SETPOINT
DR2.TC0339.PV              PP6 Z K-5
DR2.TC0339_BS_GAIN.PVPP6 Z K-5 - P_TAG
DR2.TC0339_BS_RESET.PVPP6 Z K-5 - I_TAG
DR2.TC0339_OP.PV        PP6 Z K-5 - CONTROL OUTPUT
DR2.TC0339_OUT_MODE.PVPP6 Z K-5 - MODE_TAG
DR2.TC0339_PREACTIM.PVPP6 Z K-5 - D_TAG
DR2.TC0339_SP.PV        PP6 Z K-5 - SETPOINT
DR2.TC0357.PV              WSAD K-5 I
DR2.TC0357_.PV             WSAD K-5
DR2.TC0357_BS_GAIN.PVWSAD K-5 I - P_TAG
DR2.TC0357_BS_RESET.PVWSAD K-5 I - I_TAG
DR2.TC0357_OP.PV        WSAD K-5 I - CONTROL OUTPUT
DR2.TC0357_OUT_MODE.PVWSAD K-5 I - MODE_TAG
DR2.TC0357_PREACTIM.PVWSAD K-5 I - D_TAG
DR2.TC0357_SP.PV        WSAD K-5 I - SETPOINT
DR2.TC0357OUT.PV        WSAD K5 (OUT)
DR2.TC0357SP.PV          WSAD K5 (SP)
DR2.TC0442.PV              DOL K-4
DR2.TC0442_BS_GAIN.PVDOL K-4 - P_TAG
DR2.TC0442_BS_RESET.PVDOL K-4 - I_TAG
DR2.TC0442_OP.PV        DOL K-4 - CONTROL OUTPUT
DR2.TC0442_OUT_MODE.PVDOL K-4 - MODE_TAG
DR2.TC0442_PREACTIM.PVDOL K-4 - D_TAG
DR2.TC0442_SP.PV        DOL K-4 - SETPOINT
DR2.TC0442OUT.PV        ZAWOR PRZED RK-4A/B
DR2.TC0442SP.PV          K-4 TRAY32 (SP)
DR2.TC0449.PV              OPARY Z RK4
DR2.TC0449_BS_GAIN.PVOPARY Z RK4 - P_TAG
DR2.TC0449_BS_RESET.PVOPARY Z RK4 - I_TAG
